Datetime,Type,Ticker,Fullname,Positions,Share Price,Book Value,Category
2024-12-07 20:00:01,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-12-07 20:00:01,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-12-07 20:00:01,Assets,Cash-CNY,Cash in CNY,1474000.0,1.0,1474000.0,Cash in CNY
2024-12-07 20:00:01,Assets,CNY=X,Cash in USD,250.0,7.259200096130371,1814.8000240325928,Cash in USD
2024-12-07 20:00:01,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-12-07 20:00:01,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-12-08 20:00:11,Assets,512290.SS,BIO ETF,296900.0,0.9639999866485596,286211.59603595734,Investments in CN
2024-12-08 20:00:11,Assets,DELL,Dell Technology,3031.0,897.0562837898251,2718977.59616696,Investments in US
2024-12-08 20:00:11,Assets,AMZN,Amazon,179.0,1650.3945258951571,295420.6201352332,Investments in US
2024-12-08 20:00:11,Assets,513500.SS,S&P 500 ETF,4500.0,2.227999925613404,10025.999665260317,Investments in US
2024-12-08 20:00:11,Assets,BTC-USD,BTC,3.0,724292.9189126566,2172878.75673797,Crypto to the Mars
2024-12-08 20:00:11,Assets,DOGE-USD,DOGE,89986.0,3.316653032239003,298452.33975905896,Crypto to the Mars
2024-12-08 20:00:11,Assets,IBKR,Interactive Brokers,4.0653,1359.1057274410996,5525.172513766302,Investments in US
2024-12-08 20:00:11,Assets,SOXL,SOXL,4.0,215.24989288566576,860.999571542663,Investments in US
2024-12-08 20:00:11,Assets,VOO,Vanguard S&P 500 ETF,30.0,4062.341919603117,121870.25758809352,Investments in US
2024-12-08 20:00:11,Assets,KYS,Loan to KangYanSong,2740105.0,1.0,2740105.0,Loans Receivables
2024-12-08 20:00:11,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-12-08 20:00:11,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-12-08 20:00:11,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-12-08 20:00:11,Assets,Cash-CNY,Cash in CNY,1474000.0,1.0,1474000.0,Cash in CNY
2024-12-08 20:00:11,Assets,CNY=X,Cash in USD,250.0,7.269499778747559,1817.3749446868896,Cash in USD
2024-12-08 20:00:11,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-12-08 20:00:11,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-12-09 20:00:22,Assets,512290.SS,BIO ETF,296900.0,0.9679999947547911,287399.1984426975,Investments in CN
2024-12-09 20:00:22,Assets,DELL,Dell Technology,3031.0,898.8482127996976,2724408.932995884,Investments in US
2024-12-09 20:00:22,Assets,AMZN,Amazon,179.0,1641.3907854575957,293808.9505969096,Investments in US
2024-12-09 20:00:22,Assets,513500.SS,S&P 500 ETF,4500.0,2.226999998092652,10021.499991416931,Investments in US
2024-12-09 20:00:22,Assets,BTC-USD,BTC,3.0,710657.2137472183,2131971.6412416548,Crypto to the Mars
2024-12-09 20:00:22,Assets,DOGE-USD,DOGE,89986.0,3.0238834141603377,272107.1729066321,Crypto to the Mars
2024-12-09 20:00:22,Assets,IBKR,Interactive Brokers,4.0653,1308.0161864766997,5317.478202883727,Investments in US
2024-12-09 20:00:22,Assets,SOXL,SOXL,4.0,212.2068763973693,848.8275055894774,Investments in US
2024-12-09 20:00:22,Assets,VOO,Vanguard S&P 500 ETF,30.0,4035.850865775312,121075.52597325935,Investments in US
2024-12-09 20:00:22,Assets,KYS,Loan to KangYanSong,2740105.0,1.0,2740105.0,Loans Receivables
2024-12-09 20:00:22,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-12-09 20:00:22,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-12-09 20:00:22,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-12-09 20:00:22,Assets,Cash-CNY,Cash in CNY,1474000.0,1.0,1474000.0,Cash in CNY
2024-12-09 20:00:22,Assets,CNY=X,Cash in USD,250.0,7.259900093078613,1814.975023269653,Cash in USD
2024-12-09 20:00:22,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
